Training on device: cuda

Starting Training...
Epoch 66/100 | Train Acc: 1.0000 | Val Acc: 0.9318 | Val Drum Loss: 0.1994 | Val Int Loss: 0.0323
Epoch 67/100 | Train Acc: 1.0000 | Val Acc: 0.9167 | Val Drum Loss: 0.2073 | Val Int Loss: 0.0335
Epoch 68/100 | Train Acc: 0.9981 | Val Acc: 0.9242 | Val Drum Loss: 0.2096 | Val Int Loss: 0.0325
Epoch 69/100 | Train Acc: 1.0000 | Val Acc: 0.9318 | Val Drum Loss: 0.2008 | Val Int Loss: 0.0326
Epoch 70/100 | Train Acc: 1.0000 | Val Acc: 0.9167 | Val Drum Loss: 0.2141 | Val Int Loss: 0.0312
Epoch 71/100 | Train Acc: 1.0000 | Val Acc: 0.9167 | Val Drum Loss: 0.2111 | Val Int Loss: 0.0313
Epoch 72/100 | Train Acc: 0.9981 | Val Acc: 0.9242 | Val Drum Loss: 0.1985 | Val Int Loss: 0.0310
Epoch 73/100 | Train Acc: 1.0000 | Val Acc: 0.9242 | Val Drum Loss: 0.2017 | Val Int Loss: 0.0346
Epoch 74/100 | Train Acc: 1.0000 | Val Acc: 0.9242 | Val Drum Loss: 0.2032 | Val Int Loss: 0.0330
Epoch 75/100 | Train Acc: 1.0000 | Val Acc: 0.9242 | Val Drum Loss: 0.2054 | Val Int Loss: 0.0324
Epoch 76/100 | Train Acc: 1.0000 | Val Acc: 0.9318 | Val Drum Loss: 0.1944 | Val Int Loss: 0.0330
Epoch 77/100 | Train Acc: 1.0000 | Val Acc: 0.9242 | Val Drum Loss: 0.1966 | Val Int Loss: 0.0310
Epoch 78/100 | Train Acc: 1.0000 | Val Acc: 0.9242 | Val Drum Loss: 0.1938 | Val Int Loss: 0.0310
Epoch 79/100 | Train Acc: 1.0000 | Val Acc: 0.9167 | Val Drum Loss: 0.1958 | Val Int Loss: 0.0350
Epoch 80/100 | Train Acc: 1.0000 | Val Acc: 0.9394 | Val Drum Loss: 0.1948 | Val Int Loss: 0.0308
Epoch 81/100 | Train Acc: 1.0000 | Val Acc: 0.9318 | Val Drum Loss: 0.1903 | Val Int Loss: 0.0308
Epoch 82/100 | Train Acc: 1.0000 | Val Acc: 0.9167 | Val Drum Loss: 0.2032 | Val Int Loss: 0.0329
Epoch 83/100 | Train Acc: 1.0000 | Val Acc: 0.9318 | Val Drum Loss: 0.2019 | Val Int Loss: 0.0309
Epoch 84/100 | Train Acc: 0.9981 | Val Acc: 0.9091 | Val Drum Loss: 0.2225 | Val Int Loss: 0.0340
Epoch 85/100 | Train Acc: 1.0000 | Val Acc: 0.9318 | Val Drum Loss: 0.2028 | Val Int Loss: 0.0363
Epoch 86/100 | Train Acc: 1.0000 | Val Acc: 0.9318 | Val Drum Loss: 0.1954 | Val Int Loss: 0.0315
Epoch 87/100 | Train Acc: 0.9962 | Val Acc: 0.9091 | Val Drum Loss: 0.1964 | Val Int Loss: 0.0306
Epoch 88/100 | Train Acc: 1.0000 | Val Acc: 0.9167 | Val Drum Loss: 0.2092 | Val Int Loss: 0.0327
Epoch 89/100 | Train Acc: 1.0000 | Val Acc: 0.9167 | Val Drum Loss: 0.1980 | Val Int Loss: 0.0304
Epoch 90/100 | Train Acc: 0.9962 | Val Acc: 0.9091 | Val Drum Loss: 0.2124 | Val Int Loss: 0.0305
Epoch 91/100 | Train Acc: 1.0000 | Val Acc: 0.9318 | Val Drum Loss: 0.2043 | Val Int Loss: 0.0342
Epoch 92/100 | Train Acc: 1.0000 | Val Acc: 0.9167 | Val Drum Loss: 0.1973 | Val Int Loss: 0.0314
Epoch 93/100 | Train Acc: 1.0000 | Val Acc: 0.9167 | Val Drum Loss: 0.1940 | Val Int Loss: 0.0312
Epoch 94/100 | Train Acc: 1.0000 | Val Acc: 0.9318 | Val Drum Loss: 0.1850 | Val Int Loss: 0.0325
Epoch 95/100 | Train Acc: 0.9981 | Val Acc: 0.9318 | Val Drum Loss: 0.1847 | Val Int Loss: 0.0327
Epoch 96/100 | Train Acc: 1.0000 | Val Acc: 0.9318 | Val Drum Loss: 0.1825 | Val Int Loss: 0.0309
Epoch 97/100 | Train Acc: 1.0000 | Val Acc: 0.9242 | Val Drum Loss: 0.1849 | Val Int Loss: 0.0314
Epoch 98/100 | Train Acc: 1.0000 | Val Acc: 0.9394 | Val Drum Loss: 0.1903 | Val Int Loss: 0.0314
Epoch 99/100 | Train Acc: 1.0000 | Val Acc: 0.9318 | Val Drum Loss: 0.1987 | Val Int Loss: 0.0313
Epoch 100/100 | Train Acc: 1.0000 | Val Acc: 0.9318 | Val Drum Loss: 0.1928 | Val Int Loss: 0.0305

Training complete. Best model saved as 'best_emg_air_drum_model.pth'
